id,L,R,F,M,P,S,X
7fe1999c,8.866666666666667,8.866666666666667,1,320.0,320.0,下午,女
5e3f33d9,27.3,0.43333333333333335,1,1568.0,1568.0,晚上,男
d69b46db,7.9,7.9,1,1720.0,1720.0,晚上,女
5e779c0a,33.2,11.466666666666667,4,19582.0,8795.0,下午,男
79cb299f,111.4,24.133333333333333,1,25.0,25.0,中午,女
334da7f0,3.7333333333333334,2.3333333333333335,5,16550.0,16550.0,下午,女
ab927e4f,89.36666666666666,8.8,7,33940.1,33940.0,下午,男
15cf9fe5,161.6,34.6,2,1945.0,1945.0,下午,女
fd665491,5.866666666666666,5.866666666666666,1,258.0,258.0,晚上,女
c69e8c7b,11.133333333333333,9.433333333333334,3,5070.0,5070.0,下午,女
6817d0d7,35.666666666666664,35.666666666666664,1,1220.0,1220.0,晚上,女
71fe707f,18.633333333333333,3.2666666666666666,10,19351.0,17375.0,中午,女
8d4e2d59,23.733333333333334,3.966666666666667,1,1989.0,398.0,晚上,女
af615121,57.333333333333336,29.5,2,1668.0,1668.0,下午,女
b3ef0808,71.73333333333333,5.5,11,29700.0,29700.0,下午,女
da9c81f2,11.633333333333333,0.1,18,130014.0,148913.81,晚上,女
555e5bf6,15.966666666666667,2.6333333333333333,4,17771.0,17771.0,下午,女
e27c9237,103.66666666666667,0.6333333333333333,3,5049.0,5049.0,中午,女
1a88d9b3,37.833333333333336,6.4,10,26415.0,26286.0,晚上,女
26b15163,30.0,12.666666666666666,3,2760.0,2760.0,下午,女
8ec65891,110.96666666666667,12.566666666666666,3,2593.0,1893.0,下午,女
d9899995,35.43333333333333,0.06666666666666667,1,834.0,834.0,晚上,女
32b8699b,12.666666666666666,8.133333333333333,1,1688.0,1688.0,晚上,女
485d6ad3,52.266666666666666,33.9,2,7973.0,7973.0,下午,男
83cacb3c,0.26666666666666666,0.03333333333333333,10,13815.0,13815.0,下午,女
d40b0e49,107.13333333333334,0.7666666666666667,2,49761.0,11685.0,下午,女
c90c7962,34.6,34.6,2,2605.0,1129.0,中午,女
de303b73,46.63333333333333,33.46666666666667,1,400.0,400.0,中午,男
0061c861,1.2666666666666666,7.833333333333333,1,740.0,740.0,晚上,女
9c12fb59,0.2,0.16666666666666666,6,3310.0,3310.0,晚上,女
9e16d116,89.3,2.033333333333333,2,5600.4,5600.0,下午,女
5459ee0d,38.56666666666667,28.733333333333334,2,5880.0,5880.0,中午,男
6e715d57,94.7,1.3666666666666667,7,26455.0,26455.0,中午,女
544c1505,26.466666666666665,20.766666666666666,2,4908.0,4908.0,下午,女
f6c304c3,94.3,5.1,1,452.0,452.0,晚上,女
1961de88,67.3,0.0,72,72887.7,68411.0,下午,女
7ddd882e,49.6,6.8,7,70575.0,28455.0,下午,女
b5998ed3,18.633333333333333,0.6666666666666666,37,67372.8,64837.0,晚上,女
79c729cb,49.9,30.833333333333332,7,5289.0,5289.0,下午,女
d8fc30a2,89.33333333333333,33.666666666666664,5,3850.0,3664.0,下午,女
c4a1cf9f,70.7,5.566666666666666,1,760.0,760.0,中午,男
c582606a,21.066666666666666,7.633333333333334,3,3056.0,3056.0,中午,女
a13d1956,1.6666666666666667,2.2,2,665.0,665.0,晚上,女
1f0dd861,16.8,16.766666666666666,1,1219.0,1219.0,晚上,女
c9d9c65e,67.43333333333334,33.53333333333333,2,4271.0,2666.0,下午,女
3c46872c,5.366666666666666,5.333333333333333,1,2887.0,2887.0,中午,女
adf1dcb8,35.6,21.566666666666666,1,3690.0,3690.0,晚上,男
b5326479,3.1,0.8,3,9212.0,9212.0,下午,女
2c2df0bb,98.0,4.2,4,15715.0,7766.0,下午,女
f12bf95d,34.8,6.9,3,9057.0,9057.0,下午,女
bf4a56bb,41.56666666666667,28.966666666666665,3,3869.0,3869.0,下午,男
4e8f2b69,82.0,1.2,7,50798.299999999996,50798.0,晚上,女
ee9785b3,10.733333333333333,10.733333333333333,1,2700.0,2700.0,下午,女
26ddb457,110.76666666666667,1.7333333333333334,1,2794.0,2794.0,下午,女
5191a2b2,83.63333333333334,12.433333333333334,6,10031.0,10031.0,中午,男
5be1227f,29.333333333333332,1.5,23,80279.0,43057.0,下午,女
4e3ab4c6,9.5,9.5,1,280.0,280.0,下午,女
71e8f9a8,4.1,3.7666666666666666,3,2110.0,2110.0,中午,女
290dde7d,5.2,2.1,5,9976.0,9976.0,下午,女
6cdeb337,27.433333333333334,19.933333333333334,3,4320.0,2048.0,中午,女
1fe51aa6,9.933333333333334,9.933333333333334,2,7985.0,7985.0,下午,女
893fac90,32.266666666666666,10.733333333333333,3,12190.0,11910.0,下午,女
bbf0196a,0.3,0.3,1,1180.0,1180.0,晚上,女
07e12491,5.866666666666666,5.866666666666666,1,5006.0,5006.0,下午,女
49da1407,11.5,33.0,1,13260.0,52.0,下午,女
68f0bb24,14.2,12.9,3,3208.0,3208.0,下午,女
f56327d7,14.966666666666667,0.5,37,103740.54000000001,72870.24,下午,男
c6d16b4f,12.9,12.9,2,8660.0,8660.0,下午,女
299950ab,88.4,20.266666666666666,2,11676.0,11676.0,下午,女
2e2c8844,82.7,11.533333333333333,3,7500.0,7500.0,下午,女
6d3e231f,18.4,18.4,1,14760.0,2952.0,晚上,女
ba5b698c,2.8666666666666667,2.8666666666666667,1,2384.0,2384.0,中午,女
a3413236,7.266666666666667,3.8666666666666667,4,3800.0,3800.0,下午,女
ddb96d0f,88.56666666666666,7.966666666666667,10,17064.0,17064.0,下午,女
f648aa52,2.033333333333333,2.033333333333333,1,269.0,269.0,中午,女
12d9e7b2,161.6,0.1,27,47242.0,44357.0,下午,女
7ee87e89,95.96666666666667,28.733333333333334,1,1399.0,1399.0,下午,女
14bc144b,2.966666666666667,2.966666666666667,1,735.0,735.0,下午,女
55f357a2,38.5,28.9,3,9984.0,6496.0,晚上,女
e2549276,7.166666666666667,2.2666666666666666,6,7349.0,7349.0,下午,女
4953cf97,12.733333333333333,7.266666666666667,4,2291.0,2291.0,中午,女
c9bc2c42,36.13333333333333,0.06666666666666667,10,7442.0,7442.0,下午,女
43fd9e15,129.0,4.466666666666667,2,1935.0,1979.0,下午,女
f6e31c1f,147.26666666666668,34.8,1,479.0,479.0,下午,女
8b9ea814,35.6,35.766666666666666,1,3588.0,718.0,下午,男
0ae056f6,9.6,9.6,1,1170.0,1170.0,晚上,女
b2d77b0e,17.333333333333332,17.3,3,6507.0,6507.0,晚上,女
b56051c2,72.26666666666667,5.233333333333333,3,45212.0,40992.0,晚上,女
a2cdff9a,12.0,12.0,2,5070.0,5070.0,中午,女
24bd6220,33.8,0.1,29,155562.6,144961.0,晚上,男
636601cd,85.8,31.566666666666666,1,1500.0,1500.0,中午,女
71643eee,72.16666666666667,7.1,2,1090.0,1090.0,中午,女
cc420686,51.766666666666666,14.8,4,4760.0,4760.0,下午,女
b55f54a7,31.666666666666668,17.266666666666666,5,1440.0,1440.0,晚上,女
02cd8d1d,7.4,7.4,1,5490.0,5490.0,晚上,女
1a9568b3,79.7,7.333333333333333,3,3198.0,3198.0,下午,女
5fba974d,43.166666666666664,36.03333333333333,1,1210.0,1210.0,下午,女
dadf0059,53.8,28.866666666666667,1,26996.0,19116.0,下午,女
82f0eae2,7.366666666666666,7.366666666666666,1,1030.0,1030.0,下午,女
d433e7f4,61.2,8.3,1,1750.0,1750.0,下午,女
b964583f,38.666666666666664,19.466666666666665,5,5375.0,5275.0,下午,女
f787fbf2,96.73333333333333,5.466666666666667,4,17569.0,17569.0,下午,女
eda01b5e,72.23333333333333,4.3,1,2699.0,2699.0,下午,男
2cc1e3be,3.466666666666667,0.03333333333333333,2,3747.0,3747.0,下午,女
261209c5,29.5,1.2333333333333334,26,74136.3,72377.0,晚上,女
d6485a7e,11.866666666666667,11.3,2,880.0,880.0,下午,女
281a3360,149.3,13.4,1,889.2,302.0,晚上,女
d87a4e2e,56.63333333333333,33.333333333333336,4,9300.0,7428.0,下午,女
b7e300cf,14.166666666666666,14.166666666666666,1,2967.0,2967.0,中午,女
64497a2b,36.233333333333334,0.1,62,196924.88999999998,192113.05,下午,女
30d863aa,3.933333333333333,3.933333333333333,1,891.0,891.0,下午,女
15be843e,24.766666666666666,0.9,12,23460.0,23460.0,下午,女
1a2544ba,10.1,8.3,1,1971.0,1971.0,晚上,男
17f57ad3,53.833333333333336,30.966666666666665,1,1840.0,1840.0,中午,女
e7cfdc6e,45.1,9.8,1,805.0,805.0,中午,男
8b1a2603,8.833333333333334,8.833333333333334,1,510.0,510.0,中午,女
156ee5c2,14.466666666666667,5.7,8,4978.0,4978.0,下午,女
0116fc67,77.66666666666667,17.7,2,3234.0,3234.0,晚上,女
f267fef2,42.56666666666667,21.066666666666666,1,1580.0,1580.0,下午,女
bdd25175,31.166666666666668,31.166666666666668,1,420.0,420.0,下午,女
4f81212a,35.06666666666667,34.6,3,16600.0,5629.0,晚上,男
183c5bea,94.63333333333334,33.666666666666664,1,812.0,812.0,中午,女
a3ec0ef9,9.633333333333333,1.7,5,4380.0,4380.0,下午,女
673fc7c7,18.466666666666665,18.466666666666665,1,420.0,420.0,中午,女
5ea2d2f0,2.1666666666666665,2.1666666666666665,1,805.0,805.0,下午,女
c27a16b2,1.7,1.7,1,4435.0,4435.0,下午,女
9d923f6f,16.1,15.766666666666667,3,7560.0,7560.0,晚上,女
8588e710,0.43333333333333335,0.03333333333333333,4,4735.0,4735.0,晚上,女
91f81588,4.166666666666667,4.166666666666667,2,4630.0,4630.0,中午,女
b1037348,64.46666666666667,16.133333333333333,2,1060.0,1060.0,中午,女
a2ed5fbf,55.7,35.36666666666667,1,1640.0,940.0,晚上,女
6a4db317,8.2,0.3333333333333333,5,1600.0,1600.0,下午,女
5afd8734,48.86666666666667,1.7333333333333334,2,1570.0,1570.0,下午,女
2cf3318b,9.233333333333333,36.0,2,1630.0,1630.0,晚上,女
511e0b44,7.133333333333334,7.133333333333334,1,320.0,320.0,下午,女
cca75d54,9.2,0.03333333333333333,3,5729.0,5959.0,下午,女
f84635cf,170.76666666666668,35.266666666666666,1,679.0,679.0,晚上,女
b2ecb4d8,11.766666666666667,8.8,1,1990.0,1990.0,晚上,女
e76e0363,86.23333333333333,2.6333333333333333,6,12997.400000000001,12698.0,下午,女
beb55348,98.36666666666666,4.966666666666667,6,2906.0,2906.0,下午,女
c4bb7f16,43.46666666666667,10.266666666666667,2,1335.0,1335.0,下午,女
1929f68a,67.46666666666667,11.833333333333334,4,15445.0,12246.0,下午,女
a5b9612d,62.9,34.36666666666667,3,1495.0,1295.0,中午,女
95f9fa41,52.13333333333333,35.166666666666664,2,1415.0,1415.0,下午,女
209800f9,68.5,18.266666666666666,6,10064.0,10064.0,中午,女
83c02b3e,13.166666666666666,6.666666666666667,4,14508.0,14508.0,下午,女
d4b4b9fe,30.9,30.9,2,710.0,710.0,下午,女
e49d7c28,9.133333333333333,1.5333333333333334,2,7390.0,7390.0,上午,女
ae48f1bc,32.93333333333333,13.4,3,4464.0,4464.0,晚上,女
f40e7758,11.0,6.833333333333333,12,23505.0,20223.0,晚上,女
b1d1efcc,14.1,14.1,1,1000.0,1000.0,晚上,女
c6369eb4,110.5,12.7,1,1420.0,1420.0,晚上,女
57f4d115,52.166666666666664,12.233333333333333,4,11670.0,11670.0,下午,女
2909e82c,19.066666666666666,19.033333333333335,1,2725.0,2725.0,中午,女
1bb2ed23,57.333333333333336,6.666666666666667,2,1130.0,1130.0,中午,女
68373dfc,37.833333333333336,24.133333333333333,3,1504.0,1504.0,下午,女
d2d39a37,30.2,11.4,6,5264.0,3078.0,晚上,女
d459a7d5,38.43333333333333,32.06666666666667,6,9474.0,9474.0,下午,女
17b83f2c,6.933333333333334,6.933333333333334,1,320.0,320.0,晚上,女
c653c885,23.733333333333334,8.833333333333334,4,6140.0,2710.0,下午,女
d2bd108d,1.8666666666666667,1.8666666666666667,1,620.0,620.0,下午,女
288115cf,76.33333333333333,12.2,2,4450.0,2425.0,下午,女
67a048aa,29.166666666666668,0.7666666666666667,14,30289.2,30089.0,中午,女
36a33154,0.13333333333333333,0.1,1,1040.0,1040.0,晚上,女
bccc052a,14.433333333333334,35.43333333333333,6,17488.0,17488.0,下午,女
14eff7c7,105.46666666666667,24.133333333333333,5,7390.0,7390.0,晚上,女
390b4631,52.13333333333333,31.0,12,12355.0,12355.0,晚上,女
b660b611,41.56666666666667,18.4,2,665.0,665.0,下午,男
4886bbe5,41.3,0.6666666666666666,12,16837.8,16838.0,中午,女
b25798b6,146.36666666666667,8.066666666666666,6,12527.0,12527.0,下午,女
5c8d22e3,62.3,34.96666666666667,1,13266.0,13265.99,下午,男
a7b31d1a,68.5,17.6,3,4626.0,4337.610000000001,晚上,男
9ced927c,76.03333333333333,13.4,5,7839.0,7839.0,晚上,女
37e6baac,6.533333333333333,7.266666666666667,1,450.0,450.0,下午,女
6cc36343,9.4,8.533333333333333,3,6488.0,6488.0,中午,女
2e5abd7f,27.533333333333335,0.3333333333333333,1,1520.0,1428.0,中午,女
f4c23281,52.333333333333336,11.2,1,510.0,510.0,晚上,女
768fecd8,57.36666666666667,0.1,3,24630.0,4991.0,下午,女
ba9d8ae2,52.9,12.4,5,5676.0,5676.0,晚上,女
57e9f9dd,95.33333333333333,0.3333333333333333,21,78995.0,66450.0,晚上,女
fa67899e,96.46666666666667,3.3,1,3975.0,3975.0,晚上,女
373590cd,31.333333333333332,31.366666666666667,1,830.0,830.0,晚上,男
d165466a,109.63333333333334,35.46666666666667,1,398.0,398.0,下午,女
5ad9b2e4,1.0,1.0,3,4830.0,4830.0,下午,女
1eec8a2c,7.466666666666667,7.466666666666667,1,1365.0,1365.0,晚上,女
9c5fa1d6,74.13333333333334,7.8,22,126524.0,126474.0,下午,女
1447e3cd,70.1,10.733333333333333,2,5102.0,3052.0,中午,女
d72596fa,35.233333333333334,35.2,1,718.0,718.0,晚上,女
d3db5de8,19.666666666666668,0.3333333333333333,11,12160.0,11636.0,中午,女
7243a9a2,55.7,11.833333333333334,7,23097.0,28426.0,晚上,女
096a8fd5,33.833333333333336,32.166666666666664,20,70114.0,70114.0,中午,女
f5886906,104.16666666666667,4.033333333333333,19,48602.0,42495.0,下午,女
ad30fd9a,1.4666666666666666,1.2333333333333334,1,3115.4,3115.0,晚上,女
9f1e9262,0.7333333333333333,0.7333333333333333,1,2220.0,2220.0,下午,女
d5f533bc,6.233333333333333,6.233333333333333,1,320.0,320.0,晚上,女
3b348fcc,6.833333333333333,3.566666666666667,4,2090.0,2090.0,下午,女
e85ab831,6.533333333333333,1.8,1,6410.0,6410.0,下午,女
92b582ae,70.5,13.4,2,4811.0,4811.0,下午,女
cdcb4082,8.366666666666667,1.2666666666666666,14,37066.0,37066.0,下午,男
8ea8a9bf,13.366666666666667,7.8,1,3909.0,39.0,晚上,女
faa4dd63,16.9,7.2,8,31948.0,31948.0,晚上,女
782e304e,5.7,0.8,6,6501.0,6501.0,下午,女
d08405ec,22.2,12.733333333333333,2,5504.0,5504.0,下午,女
3177431c,53.3,2.433333333333333,1,830.0,830.0,下午,女
7541ba3b,10.1,6.366666666666666,3,2775.0,2775.0,下午,女
4d48dd96,73.06666666666666,0.2,10,29720.0,29720.0,晚上,女
69bb399c,4.2,4.2,1,3040.0,3040.0,中午,女
9de8d0f1,29.533333333333335,22.033333333333335,3,2010.0,2010.0,中午,女
fae6fcc5,34.766666666666666,18.533333333333335,1,110.0,110.0,下午,女
0b05f4f0,108.56666666666666,18.2,2,3318.0,3318.0,中午,女
a14e279d,64.73333333333333,32.7,3,4440.0,4440.0,中午,女
925dc7c0,23.733333333333334,0.5666666666666667,2,4786.0,4786.0,下午,女
dd3bfe0e,42.166666666666664,8.7,3,4646.0,4646.0,下午,女
86c39aed,7.766666666666667,7.766666666666667,1,1390.0,1390.0,晚上,女
4ee53286,12.3,2.433333333333333,3,3160.0,3160.0,中午,女
84147f9e,95.0,0.03333333333333333,91,121694.4,121646.0,晚上,女
69256dd4,8.666666666666666,2.1666666666666665,2,6440.0,6440.0,中午,女
932d4d41,10.366666666666667,10.366666666666667,1,1338.0,1338.0,下午,女
d5f9ac38,89.46666666666667,30.866666666666667,2,2389.0,962.0,晚上,女
eef43337,1.2666666666666666,1.2333333333333334,1,271.8,72.0,中午,女
5fd02e41,0.8,0.7666666666666667,12,16728.5,16729.0,晚上,女
f2f5838a,86.2,29.266666666666666,3,6347.0,6347.0,晚上,女
9c8189a8,55.233333333333334,5.466666666666667,24,62903.0,41016.0,晚上,女
6172da63,108.33333333333333,33.3,1,340.0,340.0,下午,男
09d4c775,85.96666666666667,34.43333333333333,1,1265.0,1265.0,中午,女
a2e93500,45.833333333333336,33.9,1,330.0,330.0,下午,女
916fa362,11.166666666666666,10.933333333333334,3,17686.0,17686.0,中午,女
527d92b6,20.2,1.2,52,201144.2,200736.0,下午,女
602691c7,6.166666666666667,6.166666666666667,1,3380.0,676.0,中午,女
62eddd16,8.333333333333334,8.333333333333334,1,1704.0,1704.0,下午,女
32d4087b,46.53333333333333,31.3,3,1335.0,1335.0,下午,女
3635f3cb,27.533333333333335,3.8,5,6890.0,6890.0,晚上,女
28d1c0e3,20.133333333333333,17.5,2,1760.0,1760.0,下午,女
ce230d99,22.733333333333334,6.466666666666667,1,536.0,536.0,晚上,女
a409894c,8.0,8.0,1,6840.0,6840.0,下午,女
72f9e357,11.566666666666666,1.2666666666666666,30,95600.32999999999,95599.0,下午,女
43ed5b81,32.1,13.166666666666666,2,4760.0,4760.0,中午,女
a928ff97,15.2,15.2,1,1040.0,1040.0,晚上,女
e1559b7b,2.3666666666666667,2.3666666666666667,2,6315.0,6315.0,下午,女
2484be9e,13.0,13.0,1,800.0,800.0,下午,女
1c2189e5,25.533333333333335,0.13333333333333333,29,73896.06000000001,72359.0,下午,女
e5133f34,50.53333333333333,19.633333333333333,3,4670.0,4670.0,晚上,女
47f8349f,8.4,8.4,1,730.0,730.0,下午,女
ab6244c3,129.66666666666666,35.0,1,5820.0,5720.0,中午,女
004e1ab3,54.5,0.06666666666666667,3,5980.0,5980.0,上午,女
53df8e8c,14.533333333333333,14.533333333333333,1,640.0,640.0,中午,女
4906f5d1,13.433333333333334,2.2,4,4400.0,4400.0,下午,女
a2b9f67c,30.933333333333334,30.9,3,11319.0,11319.0,下午,女
9d133758,11.566666666666666,11.566666666666666,1,2780.0,2780.0,晚上,女
f96cb48e,111.5,9.466666666666667,4,4376.0,4376.0,中午,女
4f35f0dc,51.4,33.36666666666667,3,5440.0,3096.0,下午,女
5181aa35,22.866666666666667,3.7333333333333334,31,100252.0,100054.0,下午,女
36e3261c,90.63333333333334,0.4,1,200.0,200.0,中午,女
50c8a679,39.46666666666667,13.4,1,3859.2,3859.0,下午,男
0c27a4bb,28.666666666666668,6.9,3,2539.0,2539.0,中午,女
4e8d6b55,9.966666666666667,1.9,2,2900.0,2900.0,晚上,女
1ac51b0e,3.933333333333333,3.933333333333333,1,1240.0,1240.0,下午,女
450abec2,52.36666666666667,12.666666666666666,7,18970.0,18970.0,下午,女
cf5c36e1,1.1,1.0666666666666667,46,227772.09999999998,220437.0,中午,女
32b508b5,49.766666666666666,29.4,5,12338.0,12338.0,晚上,女
922a2dbe,154.2,32.9,1,2091.0,2091.0,下午,女
54194cc4,21.666666666666668,0.06666666666666667,3,6999.1,6999.0,晚上,女
af156dfa,18.433333333333334,18.433333333333334,1,340.0,340.0,晚上,女
52a8c7d4,43.7,33.06666666666667,1,330.0,330.0,晚上,女
f4ca81be,69.03333333333333,17.866666666666667,1,799.0,799.0,中午,女
4aad6340,4.866666666666666,4.866666666666666,1,320.0,320.0,晚上,女
e1aa8708,10.666666666666666,10.666666666666666,2,2760.0,2760.0,中午,女
feb51d78,33.03333333333333,0.8,1,10300.0,2060.0,下午,女
094b81d4,12.733333333333333,1.2333333333333334,3,19070.1,18670.0,晚上,女
000234ad,29.133333333333333,1.8666666666666667,33,46181.7,45882.0,下午,女
e495dbf8,40.1,18.2,3,1520.0,1520.0,晚上,女
552a8199,153.5,1.2666666666666666,2,2375.7000000000003,2886.0,晚上,女
af78a894,6.633333333333334,0.6333333333333333,4,9637.800000000001,9638.0,中午,女
2c35bc66,56.06666666666667,21.133333333333333,1,1686.0,1686.0,中午,女
ded1f6e7,69.9,13.033333333333333,2,3759.0,3759.0,下午,女
bb9e532f,28.3,0.8,5,12610.0,12610.0,下午,女
65acaedb,56.9,9.333333333333334,3,3908.0,3908.0,中午,女
16774d8f,40.233333333333334,2.7,3,2850.0,2850.0,下午,女
d81c93cd,58.93333333333333,15.1,9,44507.0,22633.0,中午,女
70d15eb6,55.86666666666667,33.8,1,1636.0,1636.0,晚上,女
2406b3d3,33.03333333333333,12.2,2,968.0,968.0,下午,男
4bffb411,165.06666666666666,32.7,1,550.0,550.0,下午,女
a1a02236,14.766666666666667,14.766666666666667,1,5152.0,5152.0,中午,女
4b01ae8a,11.266666666666667,11.266666666666667,2,1805.0,1805.0,晚上,女
c9e4e126,29.633333333333333,29.6,7,9048.0,9048.0,下午,女
84e551c9,49.666666666666664,0.6333333333333333,2,2114.0,2114.0,下午,女
d6c1758a,40.1,33.1,2,1120.0,1120.0,晚上,女
60fac181,6.933333333333334,4.933333333333334,5,9445.0,9445.0,晚上,女
ba907c16,85.16666666666667,4.666666666666667,12,37956.0,37956.0,下午,女
84bd210e,70.0,1.2666666666666666,3,5974.759999999999,4654.0,晚上,男
fc5ed57b,96.46666666666667,1.1333333333333333,11,32820.1,32820.0,下午,女
078cdaf4,31.833333333333332,31.833333333333332,1,6385.0,6385.0,上午,男
dbe31dc5,26.8,21.933333333333334,1,1969.0,109.0,上午,男
1bc58149,3.6666666666666665,3.6666666666666665,1,1050.0,1050.0,下午,女
c133cfea,13.8,13.4,1,8622.0,7925.0,晚上,女
ba70e8e0,105.83333333333333,5.566666666666666,3,2948.0,2548.0,晚上,女
b935cc9b,87.7,2.5,1,19971.0,19971.0,下午,男
f31e5cea,8.9,8.9,1,22500.0,4500.0,下午,女
4d7af058,34.7,34.666666666666664,1,1390.0,1390.0,下午,男
ebe9651c,9.4,9.4,2,2565.0,2565.0,晚上,女
1338173e,88.56666666666666,35.03333333333333,2,5952.0,5952.0,下午,男
21c87b02,49.56666666666667,32.666666666666664,4,2685.0,2685.0,晚上,女
df723c40,99.1,6.6,2,2576.0,2576.0,下午,男
677066cf,59.5,11.6,3,830.0,830.0,下午,女
e20207b2,14.433333333333334,0.23333333333333334,13,26187.0,25187.0,中午,女
0712e66b,0.5333333333333333,0.5333333333333333,1,6406.0,6406.0,下午,女
57c5c41f,22.733333333333334,4.7,4,7834.0,7834.0,晚上,女
ae989311,157.3,11.266666666666667,2,9800.0,9800.0,下午,女
ed00a368,107.5,9.966666666666667,2,5977.0,5977.0,下午,女
021b39a9,34.6,11.0,1,320.0,320.0,晚上,女
44ee1cb9,69.13333333333334,21.6,2,2268.0,2268.0,中午,男
835e63b2,7.433333333333334,7.433333333333334,1,1670.0,1670.0,下午,女
d9098316,4.966666666666667,4.966666666666667,3,3650.0,3650.0,下午,女
556887bf,55.2,2.2333333333333334,12,37448.0,37448.0,下午,男
9058f491,11.866666666666667,7.766666666666667,3,3410.0,3410.0,中午,女
2561aff9,46.43333333333333,34.63333333333333,1,1300.0,1300.0,上午,女
4bf914a8,62.1,31.966666666666665,1,1270.0,1270.0,下午,女
1d593886,2.3333333333333335,3.7,1,15580.0,3116.0,下午,男
91f34b22,70.33333333333333,8.266666666666667,2,3090.0,2990.0,晚上,女
2a293809,161.13333333333333,1.5666666666666667,6,1455.0,1455.0,晚上,女
077497b6,8.7,3.966666666666667,2,515.0,515.0,下午,女
db6b335b,45.93333333333333,18.833333333333332,7,4410.0,4410.0,下午,女
5a168493,57.233333333333334,9.566666666666666,14,32867.7,32868.0,中午,女
55651df9,57.13333333333333,5.533333333333333,9,37638.0,12448.0,下午,女
20c00e3f,13.466666666666667,1.2333333333333334,5,4860.9,3661.0,下午,女
089845c9,39.166666666666664,34.166666666666664,2,1275.0,1275.0,下午,女
b6a496f6,105.16666666666667,3.0,1,1120.0,1120.0,中午,女
365babf6,111.2,35.06666666666667,6,4869.0,4869.0,晚上,女
e3209690,34.8,34.8,1,3200.0,3200.0,下午,女
f13b77e3,2.2333333333333334,1.0333333333333334,1,1480.0,1480.0,下午,女
916ad57c,37.233333333333334,12.066666666666666,1,2550.0,2550.0,晚上,女
e2e74cfa,89.66666666666667,36.0,1,518.0,518.0,晚上,女
4d269cee,1.5333333333333334,0.3,10,12248.7,12248.0,下午,女
8f7553c7,20.766666666666666,19.733333333333334,2,7770.0,7770.0,中午,女
766f9762,88.46666666666667,0.6,1,1480.0,1480.0,下午,女
638b839a,79.9,10.633333333333333,4,5647.0,5547.0,下午,女
478e5fad,68.06666666666666,14.666666666666666,3,1950.0,1950.0,下午,女
df4c9fa5,86.23333333333333,8.966666666666667,3,4318.0,4138.0,下午,女
02ccbbbd,96.06666666666666,35.13333333333333,1,310.0,310.0,晚上,女
cfbd0de3,17.5,15.366666666666667,1,2400.0,2400.0,中午,女
ab47ebc4,56.5,34.233333333333334,1,1240.0,1240.0,晚上,女
0d6b807b,0.5,0.5,1,1370.0,1370.0,下午,女
b1a3a5b7,82.33333333333333,29.8,1,2168.0,2168.0,晚上,女
efa7e6fa,25.033333333333335,4.133333333333334,2,1459.0,1459.0,晚上,女
67a11bde,4.1,4.1,2,11860.0,11860.0,晚上,女
91e77145,44.2,33.733333333333334,1,2310.0,2310.0,晚上,女
7c53a9cb,3.6333333333333333,3.6333333333333333,2,720.0,720.0,下午,女
fbadea24,5.166666666666667,5.166666666666667,1,10948.0,10948.0,下午,女
22d36430,15.066666666666666,15.066666666666666,1,1270.0,1270.0,下午,女
